Time,Used
43562.607797,101379000
43562.607842,51773128
43562.607889,52210456
43562.607935,271194768
43562.607981,180447584
43562.608028,130473352
43562.608074,353369488
43562.608120,216939152
43562.608167,55301248
43562.608213,253049672
43562.608259,85386040
43562.608306,308671208
43562.608352,153388240
43562.608398,378519304
43562.608445,195189648
43562.608491,421984432
43562.608537,231242088
43562.608583,463871032
43562.608630,257598256
43562.608676,42293960
43562.608722,278840800
43562.608769,478949136
43562.608815,251423200
43562.608861,469997568
43562.608908,242366032
43562.608954,41651064
43562.609000,275309384
43562.609047,89184272
43562.609093,312966208
43562.609139,148161048
43562.609186,385530712
43562.609232,223923416
43562.609278,89629624
43562.609325,321621624
43562.609371,201815040
43562.609417,91537752
43562.609463,330320184
43562.609510,243733384
43562.609556,164174504
43562.609602,96255864
43562.609649,39077792
43562.609695,257759280
43562.609741,196192064
43562.609788,159539888
43562.609834,140067304
43562.609880,117364472
43562.609927,65015256
43562.609973,230493440
43562.610019,218609624
43562.610066,174672464
43562.610112,185235776
43562.610158,202747272
43562.610205,54851592
43562.610251,102721320
43562.610297,159860512
43562.610344,52587512
43562.610390,51917096
43562.610436,132082880
43562.610482,142890112
43562.610529,86353808
43562.610575,145277272
43562.610622,64970440
43562.610668,132772904
43562.610715,86063896
43562.610761,92985512
43562.610807,117243064
43562.610854,90923304
43562.610900,43045296
43562.610988,64972952
43562.611034,40484416
43562.611085,82074576
43562.611132,65674264
43562.611178,52688040
43562.611224,62099824
43562.611271,70904328
43562.611338,71346824
43562.611470,46500528
43562.611517,43634392
43562.611563,65242544
43562.611690,55407008
43562.611736,42446392
43562.611782,47447640
43562.611863,50199112
43562.611909,53234072
43562.611955,54454472
43562.612002,50095328
43562.612048,68548664
43562.612095,47823024
43562.612154,50462304
43562.612231,51343008
43562.612277,52071896
43562.612332,61334408
43562.612378,44341424
43562.612425,59968032
43562.612471,71376456
43562.612517,67411376
43562.612564,53900936
43562.612610,70703784
43562.612739,70865168
43562.612832,64545584
43562.612878,42830240
43562.612925,44541616
43562.612971,69939776
43562.613017,60202912
43562.613064,66681688
43562.613110,62136088
43562.613157,59115784
43562.613204,69180064
43562.613366,51851544
43562.613528,45331016
43562.613582,57547024
43562.613744,57084128
43562.613815,61420368
43562.613862,75560064
43562.614024,69097384
43562.614186,61377024
43562.614285,49647824
43562.614448,67260096
43562.614610,57129176
43562.614772,75926928
43562.614934,72545752
43562.614980,57039112
43562.615032,71595488
43562.615079,55324680
43562.615125,77736200
43562.615172,52655992
43562.615218,72923216
43562.615277,60987208
43562.615323,61606976
43562.615369,57528000
43562.615416,82152304
43562.615578,77708952
43562.615740,65700552
43562.615790,74900568
43562.615952,79156616
43562.616114,85604152
43562.616276,65046496
43562.616385,82403768
43562.616430,70508352
43562.616513,69502872
43562.616675,89126704
43562.616721,67831648
43562.616767,74847264
43562.616814,61071416
